"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
3.632888000E-2,-3.549000263E0,8.079000473E0,-3.625050068E0
3.885980200E-2,-3.580050230E0,7.993050575E0,-3.625050068E0
4.139354900E-2,-3.604050159E0,7.987950325E0,-3.637050152E0
4.392406500E-2,-3.576000214E0,7.969050407E0,-3.615000248E0
4.645361200E-2,-3.553950071E0,7.957050323E0,-3.661050081E0
4.903301100E-2,-3.523050070E0,7.950000286E0,-3.723000288E0
5.152832100E-2,-3.573000193E0,7.930950165E0,-3.715950251E0
5.406193400E-2,-3.658950090E0,7.852050304E0,-3.724950075E0
5.659570300E-2,-3.736050129E0,7.813050270E0,-3.742050171E0
5.912937400E-2,-3.781950235E0,7.806000233E0,-3.766050100E0
6.166314300E-2,-3.837000132E0,7.849050522E0,-3.784950256E0
6.419675800E-2,-3.892050266E0,7.971000195E0,-3.775950193E0
6.673029900E-2,-3.886950254E0,8.062050819E0,-3.679950237E0
6.926405900E-2,-3.846000195E0,8.176950455E0,-3.499950171E0
7.179767600E-2,-3.790950298E0,8.304000854E0,-3.402000189E0
7.433152000E-2,-3.669000149E0,8.355000496E0,-3.397050142E0
7.686506100E-2,-3.585000277E0,8.331000328E0,-3.385050058E0
7.939882500E-2,-3.537000179E0,8.376000404E0,-3.409050226E0
8.193244300E-2,-3.517950058E0,8.472000122E0,-3.486000061E0
8.446621000E-2,-3.541950226E0,8.479050636E0,-3.481050253E0
8.699982700E-2,-3.600000143E0,8.541000366E0,-3.430950165E0
8.953359200E-2,-3.625950098E0,8.611050606E0,-3.358950138E0
9.206721000E-2,-3.631050110E0,8.641950607E0,-3.333000183E0
9.460097700E-2,-3.628050089E0,8.620050430E0,-3.333000183E0
9.713459400E-2,-3.633000135E0,8.623050690E0,-3.298950195E0
9.966838800E-2,-3.595050097E0,8.649000168E0,-3.256050110E0
1.022019280E-1,-3.516000271E0,8.653950691E0,-3.328050137E0
1.047357720E-1,-3.475050211E0,8.617950439E0,-3.405000210E0
1.072693900E-1,-3.472950220E0,8.569950104E0,-3.460050106E0
1.098029500E-1,-3.448950052E0,8.485950470E0,-3.496050119E0
1.123367170E-1,-3.487050056E0,8.440950394E0,-3.519000053E0
1.148703350E-1,-3.544950247E0,8.407050133E0,-3.589050055E0
1.174041020E-1,-3.580050230E0,8.290050507E0,-3.594000101E0
1.199377510E-1,-3.553950071E0,8.215950012E0,-3.577050209E0
1.224715190E-1,-3.556050062E0,8.236949921E0,-3.603000164E0
1.250051360E-1,-3.508950233E0,8.167950630E0,-3.598050117E0
1.275389030E-1,-3.504000187E0,8.122050285E0,-3.562950134E0
