"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
3.632888000E-2,-2.089999989E-2,-8.566249907E-2,2.186249942E-2
3.885980200E-2,-2.626249939E-2,-8.676250279E-2,2.406249940E-2
4.139354900E-2,-3.162499890E-2,-8.992499858E-2,2.516249940E-2
4.392406500E-2,-3.904999793E-2,-8.882500231E-2,2.516249940E-2
4.645361200E-2,-4.427500069E-2,-8.043749630E-2,1.979999989E-2
4.903301100E-2,-4.963750020E-2,-7.617499679E-2,1.127499994E-2
5.152832100E-2,-5.926249921E-2,-6.655000150E-2,2.749999985E-3
5.406193400E-2,-6.984999776E-2,-5.266249925E-2,-3.574999981E-3
5.659570300E-2,-7.947500050E-2,-4.207500070E-2,-1.113750041E-2
5.912937400E-2,-8.799999952E-2,-2.612499893E-2,-2.172499895E-2
6.166314300E-2,-9.652499855E-2,-7.974999957E-3,-2.708750032E-2
6.419675800E-2,-1.071124971E-1,6.874999963E-3,-3.341250122E-2
6.673029900E-2,-1.145374998E-1,2.172499895E-2,-3.987500072E-2
6.926405900E-2,-1.187999994E-1,2.928750031E-2,-4.826249927E-2
7.179767600E-2,-1.167374998E-1,3.451250121E-2,-5.156249925E-2
7.433152000E-2,-1.178374961E-1,3.671250120E-2,-5.582499877E-2
7.686506100E-2,-1.145374998E-1,3.244999796E-2,-6.435000151E-2
7.939882500E-2,-1.093124971E-1,3.024999984E-2,-6.861250103E-2
8.193244300E-2,-1.060125008E-1,3.135000169E-2,-7.067500055E-2
8.446621000E-2,-1.028499976E-1,3.451250121E-2,-7.273750007E-2
8.699982700E-2,-9.858749807E-2,3.561250120E-2,-7.493750006E-2
8.953359200E-2,-8.910000324E-2,3.561250120E-2,-7.493750006E-2
9.206721000E-2,-8.057499677E-2,2.928750031E-2,-7.177499682E-2
9.460097700E-2,-6.984999776E-2,2.598750032E-2,-6.641250104E-2
9.713459400E-2,-6.462500244E-2,2.076249942E-2,-6.435000151E-2
9.966838800E-2,-5.389999971E-2,1.223750040E-2,-5.898749828E-2
1.022019280E-1,-3.795000166E-2,2.612499986E-3,-5.678749830E-2
1.047357720E-1,-2.832499892E-2,-3.712499980E-3,-5.472499877E-2
1.072693900E-1,-1.773750037E-2,-7.974999957E-3,-5.472499877E-2
1.098029500E-1,-8.112499490E-3,-1.443750039E-2,-5.156249925E-2
1.123367170E-1,1.374999993E-3,-1.333750039E-2,-5.046249926E-2
1.148703350E-1,9.899999946E-3,-1.869999990E-2,-4.826249927E-2
1.174041020E-1,1.732499897E-2,-1.759999990E-2,-4.619999975E-2
1.199377510E-1,2.062499896E-2,-1.333750039E-2,-3.987500072E-2
1.224715190E-1,1.952499896E-2,-1.333750039E-2,-3.231250122E-2
1.250051360E-1,2.158750035E-2,-1.113750041E-2,-3.135000169E-2
1.275389030E-1,2.158750035E-2,-7.012499962E-3,-3.135000169E-2
1.300724920E-1,1.952499896E-2,-5.912499968E-3,-3.024999984E-2
1.326063360E-1,2.268750034E-2,-1.649999991E-3,-3.231250122E-2
1.351399530E-1,1.952499896E-2,-5.499999970E-4,-3.135000169E-2
1.376737210E-1,1.842499897E-2,5.499999970E-4,-3.135000169E-2
1.402072540E-1,1.636249945E-2,-3.712499980E-3,-3.231250122E-2
1.427408670E-1,1.636249945E-2,-7.012499962E-3,-2.804999985E-2
1.452746370E-1,1.526249945E-2,-1.017499994E-2,-3.024999984E-2
1.478082540E-1,1.416249946E-2,-1.223750040E-2,-3.135000169E-2
1.503420400E-1,1.306249946E-2,-1.333750039E-2,-3.024999984E-2
1.528756580E-1,1.636249945E-2,-1.539999992E-2,-2.598750032E-2
1.554094250E-1,1.526249945E-2,-2.186249942E-2,-2.598750032E-2
1.579430420E-1,1.306249946E-2,-2.502499893E-2,-2.708750032E-2
1.604768280E-1,1.209999993E-2,-3.355000168E-2,-2.598750032E-2
1.630104450E-1,1.306249946E-2,-3.781250119E-2,-2.804999985E-2
1.655442120E-1,1.416249946E-2,-4.097500071E-2,-2.914999984E-2
1.680778300E-1,1.416249946E-2,-4.743750021E-2,-2.708750032E-2
1.706115960E-1,1.099999994E-2,-5.486249924E-2,-2.378750034E-2
1.731452130E-1,1.099999994E-2,-6.022499874E-2,-1.966249943E-2
1.756787520E-1,8.937500417E-3,-6.338749826E-2,-1.539999992E-2
1.782125190E-1,4.674999975E-3,-6.228749827E-2,-1.113750041E-2
1.807461410E-1,-1.787499990E-3,-5.692499876E-2,-1.209999993E-2
1.832799090E-1,-2.887499984E-3,-4.839999974E-2,-1.319999993E-2
1.858135260E-1,-6.049999967E-3,-4.097500071E-2,-1.746249944E-2
1.883472930E-1,-1.347499993E-2,-3.355000168E-2,-2.914999984E-2
1.908809060E-1,-1.883750036E-2,-3.038750030E-2,-3.561250120E-2
1.934146730E-1,-2.626249939E-2,-2.612499893E-2,-3.987500072E-2
1.959482900E-1,-3.588749841E-2,-2.502499893E-2,-3.987500072E-2
1.984820570E-1,-3.684999794E-2,-2.296249941E-2,-4.193750024E-2
2.010156800E-1,-4.111250117E-2,-2.392499894E-2,-4.083750024E-2
2.035494470E-1,-4.427500069E-2,-2.186249942E-2,-4.193750024E-2
2.060829870E-1,-4.331250116E-2,-1.869999990E-2,-4.303750023E-2
2.086168320E-1,-4.111250117E-2,-1.333750039E-2,-4.083750024E-2
2.111503860E-1,-4.331250116E-2,-1.443750039E-2,-4.303750023E-2
2.136840020E-1,-4.427500069E-2,-1.113750041E-2,-4.413750023E-2
2.162177690E-1,-4.427500069E-2,-1.017499994E-2,-4.509999976E-2
2.187513860E-1,-4.427500069E-2,-1.017499994E-2,-4.509999976E-2
2.212851240E-1,-3.904999793E-2,-7.974999957E-3,-4.509999976E-2
2.238187420E-1,-3.684999794E-2,-7.012499962E-3,-5.046249926E-2
2.263525090E-1,-3.478749841E-2,-7.974999957E-3,-5.252499878E-2
2.288861260E-1,-3.478749841E-2,-1.223750040E-2,-5.252499878E-2
2.314198990E-1,-3.052499890E-2,-1.223750040E-2,-5.156249925E-2
2.339535160E-1,-2.832499892E-2,-1.223750040E-2,-5.156249925E-2
2.364872830E-1,-2.309999987E-2,-1.333750039E-2,-4.936249927E-2
2.390209010E-1,-1.553750038E-2,-1.649999991E-2,-4.619999975E-2
2.415546630E-1,-8.112499490E-3,-1.649999991E-2,-3.987500072E-2
2.440882800E-1,-1.787499990E-3,-2.076249942E-2,-3.135000169E-2
2.466218190E-1,1.374999993E-3,-2.502499893E-2,-2.914999984E-2
2.491555860E-1,4.674999975E-3,-2.818750031E-2,-2.282499894E-2
2.516892030E-1,7.837500423E-3,-2.502499893E-2,-1.429999992E-2
2.542229710E-1,9.899999946E-3,-2.296249941E-2,-1.113750041E-2
2.567568170E-1,1.416249946E-2,-2.186249942E-2,-5.774999969E-3
2.592903570E-1,1.636249945E-2,-1.539999992E-2,-3.574999981E-3
2.618239880E-1,1.732499897E-2,-7.974999957E-3,1.649999991E-3
2.643577550E-1,1.732499897E-2,-2.749999985E-3,4.949999973E-3
2.668913720E-1,2.062499896E-2,2.612499986E-3,4.949999973E-3
2.694251390E-1,2.158750035E-2,6.874999963E-3,5.912499968E-3
2.719587520E-1,2.378750034E-2,9.074999951E-3,3.849999979E-3
2.744925190E-1,2.062499896E-2,9.074999951E-3,1.649999991E-3
2.770260600E-1,2.268750034E-2,1.113750041E-2,3.849999979E-3
2.795596730E-1,2.378750034E-2,1.429999992E-2,3.849999979E-3
2.820934230E-1,2.378750034E-2,1.429999992E-2,3.849999979E-3
2.846272690E-1,2.158750035E-2,1.856249943E-2,2.749999985E-3
2.871608100E-1,2.158750035E-2,1.539999992E-2,1.649999991E-3
2.896944250E-1,1.732499897E-2,1.429999992E-2,-2.612499986E-3
2.922281720E-1,1.842499897E-2,1.649999991E-2,-4.674999975E-3
2.947617900E-1,1.842499897E-2,1.539999992E-2,-5.774999969E-3
2.972955570E-1,1.526249945E-2,1.746249944E-2,-1.003750041E-2
2.998291740E-1,1.952499896E-2,1.333750039E-2,-1.209999993E-2
3.023629570E-1,1.842499897E-2,1.113750041E-2,-1.319999993E-2
3.048965740E-1,2.062499896E-2,6.874999963E-3,-1.209999993E-2
3.074303410E-1,1.732499897E-2,-1.649999991E-3,-1.539999992E-2
3.099638820E-1,2.062499896E-2,-2.749999985E-3,-1.746249944E-2
3.124975090E-1,2.158750035E-2,-4.812499974E-3,-1.746249944E-2
3.150313550E-1,2.268750034E-2,-7.012499962E-3,-1.856249943E-2
3.175651250E-1,2.584999986E-2,-7.974999957E-3,-2.062499896E-2
3.200986650E-1,2.488750033E-2,-1.333750039E-2,-2.488750033E-2
3.226322660E-1,2.268750034E-2,-2.186249942E-2,-2.598750032E-2
3.251660340E-1,2.584999986E-2,-3.038750030E-2,-2.914999984E-2
3.276996510E-1,2.804999985E-2,-3.355000168E-2,-3.135000169E-2
3.302334180E-1,3.231250122E-2,-3.671250120E-2,-2.708750032E-2
3.327670690E-1,3.547500074E-2,-4.413750023E-2,-2.598750032E-2
3.353008360E-1,4.179999977E-2,-5.266249925E-2,-2.488750033E-2
3.378344530E-1,4.606249928E-2,-6.022499874E-2,-2.378750034E-2
3.403682210E-1,5.032499880E-2,-6.338749826E-2,-2.172499895E-2
3.429018570E-1,5.252499878E-2,-5.692499876E-2,-1.636249945E-2
3.454356240E-1,5.362499878E-2,-5.486249924E-2,-1.429999992E-2
3.479692420E-1,5.568749830E-2,-5.486249924E-2,-1.003750041E-2
3.505030090E-1,6.104999781E-2,-4.949999973E-2,-8.937500417E-3
3.530365580E-1,6.847500056E-2,-4.207500070E-2,-1.003750041E-2
3.555701720E-1,7.383749634E-2,-3.891250119E-2,-1.209999993E-2
3.581039410E-1,7.479999959E-2,-3.464999795E-2,-1.003750041E-2
3.606377870E-1,7.699999958E-2,-2.722499892E-2,-7.837500423E-3
3.631713330E-1,8.552499861E-2,-2.722499892E-2,-4.674999975E-3
3.657049480E-1,9.075000137E-2,-3.148749843E-2,-1.512499992E-3
3.682387150E-1,9.831249714E-2,-3.244999796E-2,6.874999963E-4
3.707723330E-1,1.025749967E-1,-3.148749843E-2,3.849999979E-3
3.733061050E-1,1.120624989E-1,-3.244999796E-2,7.012499962E-3
3.758397220E-1,1.194875017E-1,-3.464999795E-2,7.012499962E-3
3.783734890E-1,1.291124970E-1,-3.781250119E-2,3.849999979E-3
3.809071070E-1,1.387374997E-1,-3.891250119E-2,-4.674999975E-3
