"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
3.696700900E-2,-3.657000065E0,7.981050491E0,-4.032000065E0
3.949785000E-2,-3.703050137E0,7.999950409E0,-4.012950420E0
4.203146500E-2,-3.742950201E0,8.053050041E0,-4.008000374E0
4.456523500E-2,-3.739050150E0,8.058000565E0,-4.033950329E0
4.709877300E-2,-3.739050150E0,8.071949959E0,-4.027050018E0
4.963238800E-2,-3.757950068E0,8.071949959E0,-4.042050362E0
5.216615800E-2,-3.724050283E0,8.077050209E0,-4.066050053E0
5.469969800E-2,-3.658950090E0,8.074049950E0,-4.057950020E0
5.723331100E-2,-3.621000290E0,8.059950829E0,-4.096950054E0
5.976685200E-2,-3.612000227E0,8.053050041E0,-4.101000309E0
6.230061900E-2,-3.585000277E0,8.035950661E0,-4.089000225E0
6.483423700E-2,-3.556050062E0,8.022000313E0,-4.069950104E0
6.736802300E-2,-3.609000206E0,8.002050400E0,-4.036950111E0
6.990156300E-2,-3.640050173E0,7.981050491E0,-4.045950413E0
7.243517700E-2,-3.628050089E0,7.998000145E0,-4.096950054E0
7.496871700E-2,-3.655050278E0,7.974000454E0,-4.084949970E0
7.750248000E-2,-3.673950195E0,7.966950417E0,-4.117949963E0
8.003609800E-2,-3.697950125E0,7.951950550E0,-4.135050297E0
8.256986500E-2,-3.681000233E0,7.950000286E0,-4.180050373E0
8.510340500E-2,-3.691050291E0,7.957050323E0,-4.192049980E0
8.763701400E-2,-3.703050137E0,7.950000286E0,-4.165950298E0
9.017055400E-2,-3.688050270E0,7.923000336E0,-4.164000034E0
9.270432200E-2,-3.691050291E0,7.923000336E0,-4.101000309E0
9.523793900E-2,-3.667050123E0,7.933050156E0,-4.036950111E0
9.777146700E-2,-3.688050270E0,7.951950550E0,-3.996000290E0
1.003052350E-1,-3.670950174E0,7.954950333E0,-3.952950239E0
1.028387750E-1,-3.709950209E0,7.963950157E0,-3.927000284E0
1.053723890E-1,-3.733950138E0,7.983000278E0,-3.916950226E0
1.079061580E-1,-3.760050297E0,7.947000504E0,-3.904950142E0
1.104396980E-1,-3.736050129E0,7.969050407E0,-3.915000200E0
1.129733120E-1,-3.765000105E0,7.969050407E0,-3.919050217E0
1.155068520E-1,-3.739050150E0,7.926000595E0,-3.922050238E0
1.180406380E-1,-3.772050142E0,7.957050323E0,-3.972000122E0
1.205742560E-1,-3.790950298E0,7.981050491E0,-3.960000277E0
1.231080230E-1,-3.826950073E0,7.966950417E0,-3.903000116E0
1.256415630E-1,-3.786000252E0,7.951950550E0,-3.928950071E0
1.281751820E-1,-3.772050142E0,7.951950550E0,-3.967050076E0
1.307087220E-1,-3.757950068E0,7.966950417E0,-3.963000298E0
1.332424900E-1,-3.685950279E0,7.987950325E0,-3.955050230E0
1.357761070E-1,-3.706950188E0,7.954950333E0,-3.982050180E0
1.383096160E-1,-3.682950258E0,7.954950333E0,-4.021950245E0
1.408433840E-1,-3.655050278E0,7.974000454E0,-3.963000298E0
1.433769240E-1,-3.588000059E0,7.963950157E0,-4.019999981E0
1.459105370E-1,-3.541950226E0,7.918950558E0,-4.056000233E0
1.484443020E-1,-3.504000187E0,7.939950466E0,-4.045950413E0
1.509779190E-1,-3.513000250E0,7.951950550E0,-4.075050354E0
1.535114580E-1,-3.508950233E0,7.975950241E0,-4.096950054E0
1.560452250E-1,-3.585000277E0,7.951950550E0,-4.116000175E0
1.585787560E-1,-3.589950085E0,7.927950382E0,-4.092000008E0
1.611123700E-1,-3.619050264E0,7.930950165E0,-4.104000092E0
1.636461390E-1,-3.612000227E0,7.903950214E0,-4.149000168E0
1.661796790E-1,-3.664050102E0,7.909050465E0,-4.223999977E0
1.687132830E-1,-3.670950174E0,7.870950222E0,-4.233000278E0
1.712470520E-1,-3.636000156E0,7.854000568E0,-4.225950241E0
1.737805920E-1,-3.646950245E0,7.852050304E0,-4.261950016E0
1.763142060E-1,-3.682950258E0,7.894950390E0,-4.281000137E0
1.788479800E-1,-3.694950104E0,7.885050297E0,-4.243050098E0
1.813815210E-1,-3.730950117E0,7.876050472E0,-4.173000336E0
1.839151340E-1,-3.772050142E0,7.882950306E0,-4.149000168E0
1.864486740E-1,-3.766950130E0,7.864050388E0,-4.072950363E0
1.889824420E-1,-3.721950293E0,7.837050438E0,-3.996000290E0
1.915160590E-1,-3.718950272E0,7.866000175E0,-3.964950085E0
1.940495970E-1,-3.724050283E0,7.828050137E0,-3.948000193E0
1.965833650E-1,-3.667050123E0,7.792050362E0,-3.997950077E0
1.991169870E-1,-3.646950245E0,7.818000317E0,-4.027050018E0
2.016505260E-1,-3.637950182E0,7.834950447E0,-4.108950138E0
2.041842930E-1,-3.658950090E0,7.842000484E0,-4.113000393E0
2.067179100E-1,-3.670950174E0,7.846950531E0,-4.080000401E0
2.092514580E-1,-3.643050194E0,7.852050304E0,-3.984000206E0
2.117852250E-1,-3.628050089E0,7.861050606E0,-4.003050327E0
2.143188420E-1,-3.637950182E0,7.890000343E0,-3.997950077E0
2.168523810E-1,-3.616050243E0,7.890000343E0,-3.997950077E0
2.193861480E-1,-3.597000122E0,7.878000259E0,-4.000950336E0
2.219196840E-1,-3.577950239E0,7.878000259E0,-3.985950232E0
2.244532980E-1,-3.577950239E0,7.902000427E0,-4.027050018E0
2.269868380E-1,-3.568050146E0,7.935000420E0,-4.032000065E0
2.295206830E-1,-3.577950239E0,7.897050381E0,-4.068000317E0
2.320542230E-1,-3.525000095E0,7.879950523E0,-4.080000401E0
2.345879940E-1,-3.511050224E0,7.842000484E0,-4.066050053E0
2.371215350E-1,-3.505950212E0,7.849050522E0,-4.099050045E0
2.396551480E-1,-3.537000179E0,7.873050213E0,-4.123050213E0
2.421886890E-1,-3.601950169E0,7.831950188E0,-4.066050053E0
2.447224560E-1,-3.633000135E0,7.831950188E0,-4.048950195E0
2.472560730E-1,-3.643050194E0,7.879950523E0,-4.036950111E0
2.497896120E-1,-3.717000246E0,7.891950607E0,-3.994050264E0
2.523233790E-1,-3.700050116E0,7.879950523E0,-4.019999981E0
2.548569960E-1,-3.700050116E0,7.938000202E0,-4.008000374E0
2.573907630E-1,-3.697950125E0,7.957050323E0,-3.996000290E0
2.599243040E-1,-3.685950279E0,7.947000504E0,-4.033950329E0
2.624579170E-1,-3.691050291E0,7.945050240E0,-4.018050194E0
2.649914530E-1,-3.706950188E0,7.957050323E0,-3.982050180E0
2.675252200E-1,-3.693000078E0,7.959000587E0,-3.943050146E0
2.700588370E-1,-3.705000162E0,7.947000504E0,-3.960000277E0
2.725923760E-1,-3.721950293E0,7.945050240E0,-3.967050076E0
2.751261480E-1,-3.786000252E0,7.962000370E0,-4.003050327E0
2.776596890E-1,-3.789000273E0,7.962000370E0,-4.036950111E0
2.801933020E-1,-3.793950081E0,7.921050549E0,-4.048950195E0
2.827268420E-1,-3.790950298E0,7.933050156E0,-4.012950420E0
2.852606970E-1,-3.789000273E0,7.951950550E0,-3.984000206E0
2.877942370E-1,-3.742950201E0,7.939950466E0,-3.997950077E0
2.903280040E-1,-3.697950125E0,7.942950249E0,-3.964950085E0
2.928615450E-1,-3.655050278E0,7.951950550E0,-3.936000109E0
2.953951630E-1,-3.655050278E0,7.986000538E0,-3.952950239E0
2.979289320E-1,-3.625950098E0,7.974000454E0,-3.939000130E0
3.004625450E-1,-3.592050076E0,7.966950417E0,-3.892950296E0
3.029961820E-1,-3.597000122E0,7.990950584E0,-3.895050287E0
3.055330090E-1,-3.576000214E0,7.990950584E0,-3.963000298E0
3.080634290E-1,-3.553950071E0,7.975950241E0,-3.985950232E0
3.105970420E-1,-3.595050097E0,7.974000454E0,-3.934050083E0
3.131305810E-1,-3.633000135E0,7.966950417E0,-3.922050238E0
3.156643500E-1,-3.625950098E0,7.971000195E0,-3.963000298E0
3.181979620E-1,-3.637950182E0,7.993050575E0,-3.948000193E0
3.207315010E-1,-3.652050257E0,8.002050400E0,-3.931050301E0
3.232652680E-1,-3.637950182E0,8.010000229E0,-3.955050230E0
3.257988860E-1,-3.693000078E0,7.983000278E0,-3.915000200E0
3.283324440E-1,-3.717000246E0,8.010000229E0,-3.880950212E0
3.308662110E-1,-3.721950293E0,8.038050652E0,-3.862050295E0
3.333998290E-1,-3.724050283E0,8.023950577E0,-3.880950212E0
3.359333670E-1,-3.727050066E0,8.005050659E0,-3.915000200E0
3.384671620E-1,-3.712050200E0,8.002050400E0,-3.886050224E0
3.410007800E-1,-3.730950117E0,7.971000195E0,-3.867000103E0
3.435343180E-1,-3.706950188E0,7.926000595E0,-3.892950296E0
3.460680850E-1,-3.697950125E0,7.918950558E0,-3.907050133E0
3.486016310E-1,-3.649950266E0,7.935000420E0,-3.862050295E0
3.511352440E-1,-3.580050230E0,7.933050156E0,-3.832950115E0
3.536690140E-1,-3.580050230E0,7.882950306E0,-3.891000271E0
3.562025540E-1,-3.552000284E0,7.864050388E0,-3.927000284E0
3.587361570E-1,-3.540000200E0,7.891950607E0,-3.915000200E0
3.612696980E-1,-3.489000082E0,7.882950306E0,-3.895050287E0
3.638034650E-1,-3.439050198E0,7.852050304E0,-3.831000090E0
3.663370830E-1,-3.445950270E0,7.867950439E0,-3.799950123E0
3.688708550E-1,-3.481950283E0,7.911000252E0,-3.807000160E0
3.714043950E-1,-3.505950212E0,7.888050556E0,-3.735000134E0
3.739380090E-1,-3.532950163E0,7.882950306E0,-3.747000217E0
3.764715490E-1,-3.553950071E0,7.923000336E0,-3.724950075E0
3.790053210E-1,-3.612000227E0,7.897050381E0,-3.766050100E0
3.815389390E-1,-3.601950169E0,7.926000595E0,-3.796950102E0
3.840724770E-1,-3.643050194E0,7.950000286E0,-3.802050114E0
3.866062440E-1,-3.652050257E0,8.010000229E0,-3.831000090E0
3.891397800E-1,-3.655050278E0,7.966950417E0,-3.766050100E0
3.916736240E-1,-3.667050123E0,7.978950500E0,-3.787950277E0
3.942071650E-1,-3.709950209E0,7.950000286E0,-3.748950243E0
3.967407030E-1,-3.727050066E0,7.974000454E0,-3.699000120E0
3.992743110E-1,-3.706950188E0,7.947000504E0,-3.718050241E0
4.018080810E-1,-3.741000175E0,7.939950466E0,-3.778050184E0
4.043416210E-1,-3.765000105E0,7.951950550E0,-3.808950186E0
4.068752340E-1,-3.813000202E0,7.935000420E0,-3.876000166E0
4.094090190E-1,-3.849000216E0,7.903950214E0,-3.900000095E0
4.119425590E-1,-3.853050232E0,7.926000595E0,-3.880950212E0
4.144761730E-1,-3.904050112E0,7.890000343E0,-3.888000250E0
4.170097130E-1,-3.930000305E0,7.885050297E0,-3.847950220E0
4.195434890E-1,-3.898950100E0,7.866000175E0,-3.840000153E0
4.220771070E-1,-3.886950254E0,7.825050354E0,-3.802050114E0
4.246108740E-1,-3.898950100E0,7.782000542E0,-3.757050276E0
4.271444140E-1,-3.942000151E0,7.774950504E0,-3.697050095E0
4.296780480E-1,-3.934950113E0,7.746000290E0,-3.694050074E0
4.322115880E-1,-3.918000221E0,7.750950336E0,-3.703950167E0
4.347453550E-1,-3.949050188E0,7.756050587E0,-3.724950075E0
4.372789730E-1,-3.952050209E0,7.705050468E0,-3.760950089E0
4.398125200E-1,-3.898950100E0,7.693950176E0,-3.790050268E0
4.423462880E-1,-3.829950094E0,7.678950310E0,-3.826050282E0
4.448798280E-1,-3.784050226E0,7.612050533E0,-3.912000179E0
4.474134410E-1,-3.765000105E0,7.579050541E0,-4.006050110E0
4.499472110E-1,-3.765000105E0,7.606950283E0,-4.101000309E0
4.524808280E-1,-3.709950209E0,7.681950569E0,-4.144950390E0
4.550143670E-1,-3.643050194E0,7.789050579E0,-4.212000370E0
4.575481340E-1,-3.682950258E0,7.734000206E0,-4.342950344E0
4.600816690E-1,-3.882000208E0,7.594950199E0,-4.386000156E0
4.626152830E-1,-4.078950405E0,7.573950291E0,-4.437000275E0
4.651490520E-1,-4.174050331E0,7.603050232E0,-4.336050034E0
4.676825920E-1,-4.219950199E0,7.629000187E0,-4.219050407E0
4.702162060E-1,-4.273050308E0,7.609950542E0,-4.129950047E0
4.727497460E-1,-4.270050049E0,7.569000244E0,-3.997950077E0
4.752835130E-1,-4.273050308E0,7.582950592E0,-3.855000257E0
4.778171310E-1,-4.309050083E0,7.612050533E0,-3.651000261E0
4.803509170E-1,-4.222050190E0,7.626000404E0,-3.579000235E0
4.828844570E-1,-4.167000294E0,7.624050140E0,-3.634050131E0
4.854180710E-1,-4.157999992E0,7.677000523E0,-3.694050074E0
4.879516110E-1,-4.138050079E0,7.749000549E0,-3.736950159E0
4.904853890E-1,-4.057050228E0,7.834950447E0,-3.747000217E0
4.930190060E-1,-4.071000099E0,7.842000484E0,-3.775950193E0
4.955525440E-1,-4.035000324E0,7.843950272E0,-3.790050268E0
4.980863120E-1,-4.014000416E0,7.762950420E0,-3.855000257E0
5.006198280E-1,-3.954000235E0,7.741050243E0,-3.963000298E0
5.031536720E-1,-3.892050266E0,7.552050591E0,-4.033950329E0
5.056872130E-1,-3.973050117E0,7.531050205E0,-4.080000401E0
5.082208280E-1,-4.219950199E0,7.684050560E0,-4.108950138E0
5.107543780E-1,-4.431000233E0,8.035950661E0,-4.096950054E0
5.132881450E-1,-4.462050438E0,8.182050705E0,-3.964950085E0
5.158216850E-1,-4.263000011E0,8.082000732E0,-3.840000153E0
5.183552990E-1,-3.997050285E0,7.885050297E0,-3.799950123E0
5.208890860E-1,-3.838950157E0,7.797000408E0,-3.864000082E0
5.234226260E-1,-3.849000216E0,7.789050579E0,-3.904950142E0
5.259562400E-1,-3.946950197E0,7.797000408E0,-4.000950336E0
5.284900090E-1,-4.090950012E0,7.819950581E0,-4.080000401E0
5.310235500E-1,-4.179000378E0,7.768050194E0,-4.171050072E0
5.335571630E-1,-4.167000294E0,7.798950195E0,-4.228050232E0
5.360907030E-1,-4.162050247E0,7.822950363E0,-4.243050098E0
5.386244710E-1,-4.098000050E0,7.828050137E0,-4.207050323E0
5.411581070E-1,-3.954000235E0,7.852050304E0,-4.156949997E0
5.436916450E-1,-3.865050077E0,7.918950558E0,-4.033950329E0
5.462254130E-1,-3.753000259E0,7.918950558E0,-3.919050217E0
5.487590300E-1,-3.664050102E0,7.878000259E0,-3.855000257E0
5.512925500E-1,-3.619050264E0,7.891950607E0,-3.778050184E0
5.538263170E-1,-3.549000263E0,7.899000168E0,-3.747000217E0
5.563599340E-1,-3.475050211E0,7.891950607E0,-3.781050205E0
5.588934730E-1,-3.420000076E0,7.885050297E0,-3.771000147E0
5.614272640E-1,-3.415050268E0,7.866000175E0,-3.760950089E0
5.639608810E-1,-3.397950172E0,7.840050220E0,-3.772950172E0
5.664944200E-1,-3.361950159E0,7.878000259E0,-3.736950159E0
5.690281870E-1,-3.373950243E0,7.891950607E0,-3.658050060E0
5.715617940E-1,-3.364950180E0,7.861050606E0,-3.661050081E0
5.740953330E-1,-3.322050095E0,7.911000252E0,-3.651000261E0
5.766291000E-1,-3.324000120E0,7.933050156E0,-3.631950140E0
5.791626410E-1,-3.327000141E0,7.933050156E0,-3.670050144E0
5.816962260E-1,-3.406050205E0,7.923000336E0,-3.670050144E0
5.842297660E-1,-3.384000063E0,7.950000286E0,-3.712950230E0
5.867636110E-1,-3.364950180E0,7.986000538E0,-3.712950230E0
5.892971510E-1,-3.397950172E0,7.990950584E0,-3.802050114E0
