"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
2.155788800E-2,1.512499992E-2,-2.626249939E-2,2.736249939E-2
3.696700900E-2,2.461249940E-2,-1.347499993E-2,-6.737499963E-3
3.949785000E-2,2.571249940E-2,-9.212499484E-3,-8.799999952E-3
4.203146500E-2,2.791249938E-2,-1.017499994E-2,-1.416249946E-2
4.456523500E-2,2.887500077E-2,-9.212499484E-3,-1.842499897E-2
4.709877300E-2,2.791249938E-2,-9.212499484E-3,-1.732499897E-2
4.963238800E-2,2.887500077E-2,-1.127499994E-2,-1.622499898E-2
5.216615800E-2,2.681249939E-2,-1.127499994E-2,-1.622499898E-2
5.469969800E-2,2.887500077E-2,-1.443750039E-2,-1.526249945E-2
5.723331100E-2,2.681249939E-2,-1.443750039E-2,-1.622499898E-2
5.976685200E-2,2.681249939E-2,-1.869999990E-2,-1.952499896E-2
6.230061900E-2,2.681249939E-2,-2.089999989E-2,-2.268750034E-2
6.483423700E-2,2.571249940E-2,-2.406249940E-2,-2.694999985E-2
6.736802300E-2,2.997500077E-2,-2.626249939E-2,-3.121249937E-2
6.990156300E-2,3.107500076E-2,-2.516249940E-2,-2.901249938E-2
7.243517700E-2,3.423750028E-2,-2.942499891E-2,-3.217500076E-2
7.496871700E-2,3.629999980E-2,-3.258749843E-2,-3.327500075E-2
7.750248000E-2,4.056249931E-2,-3.464999795E-2,-2.804999985E-2
8.003609800E-2,4.166249931E-2,-3.575000167E-2,-2.901249938E-2
8.256986500E-2,4.166249931E-2,-4.001250118E-2,-3.217500076E-2
8.510340500E-2,4.166249931E-2,-3.795000166E-2,-2.694999985E-2
8.763701400E-2,4.166249931E-2,-3.684999794E-2,-2.694999985E-2
9.017055400E-2,4.056249931E-2,-3.684999794E-2,-2.804999985E-2
9.270432200E-2,4.056249931E-2,-3.464999795E-2,-2.474999987E-2
9.523793900E-2,3.959999979E-2,-3.258749843E-2,-2.268750034E-2
9.777146700E-2,4.276249930E-2,-3.368749842E-2,-2.378750034E-2
1.003052350E-1,4.276249930E-2,-3.464999795E-2,-2.474999987E-2
1.028387750E-1,4.592499882E-2,-3.795000166E-2,-1.732499897E-2
1.053723890E-1,5.238749832E-2,-3.575000167E-2,-1.622499898E-2
1.079061580E-1,5.761250108E-2,-3.464999795E-2,-1.416249946E-2
1.104396980E-1,5.981250107E-2,-3.684999794E-2,-1.099999994E-2
1.129733120E-1,6.723749638E-2,-3.795000166E-2,-6.737499963E-3
1.155068520E-1,7.259999961E-2,-3.368749842E-2,-4.537499975E-3
1.180406380E-1,7.576250285E-2,-3.258749843E-2,-2.749999985E-4
1.205742560E-1,7.782500237E-2,-3.148749843E-2,1.787499990E-3
1.231080230E-1,8.112499863E-2,-2.722499892E-2,3.987499978E-3
1.256415630E-1,8.524999768E-2,-2.199999988E-2,1.141249947E-2
1.281751820E-1,8.524999768E-2,-1.553750038E-2,1.347499993E-2
1.307087220E-1,8.951249719E-2,-1.237499993E-2,1.567500085E-2
1.332424900E-1,9.061250091E-2,-9.212499484E-3,2.103750035E-2
1.357761070E-1,9.061250091E-2,-8.112499490E-3,1.883750036E-2
1.383096160E-1,9.377499670E-2,-5.912499968E-3,2.103750035E-2
1.408433840E-1,9.061250091E-2,-4.949999973E-3,2.199999988E-2
1.433769240E-1,8.855000138E-2,-7.012499962E-3,2.516249940E-2
1.459105370E-1,8.635000139E-2,-8.112499490E-3,2.419999987E-2
1.484443020E-1,8.524999768E-2,-8.112499490E-3,2.516249940E-2
1.509779190E-1,8.112499863E-2,-1.237499993E-2,2.309999987E-2
1.535114580E-1,7.576250285E-2,-1.553750038E-2,2.103750035E-2
1.560452250E-1,7.039999962E-2,-1.663750038E-2,2.199999988E-2
1.585787560E-1,6.723749638E-2,-2.199999988E-2,2.516249940E-2
1.611123700E-1,6.297499686E-2,-2.832499892E-2,2.626249939E-2
1.636461390E-1,5.761250108E-2,-3.038750030E-2,2.736249939E-2
1.661796790E-1,5.238749832E-2,-3.038750030E-2,2.846249938E-2
1.687132830E-1,4.482499883E-2,-3.368749842E-2,2.846249938E-2
1.712470520E-1,3.959999979E-2,-3.464999795E-2,2.942499891E-2
1.737805920E-1,3.423750028E-2,-3.464999795E-2,3.052499890E-2
1.763142060E-1,2.681249939E-2,-3.148749843E-2,3.162499890E-2
1.788479800E-1,1.828750037E-2,-3.038750030E-2,3.162499890E-2
1.813815210E-1,1.512499992E-2,-2.722499892E-2,3.162499890E-2
1.839151340E-1,9.762499481E-3,-2.199999988E-2,3.272499889E-2
1.864486740E-1,6.599999964E-3,-1.553750038E-2,3.162499890E-2
1.889824420E-1,4.399999976E-3,-1.127499994E-2,3.588749841E-2
1.915160590E-1,5.499999970E-3,-7.012499962E-3,3.478749841E-2
1.940495970E-1,8.662499487E-3,-4.949999973E-3,3.588749841E-2
1.965833650E-1,8.662499487E-3,-8.112499490E-3,3.368749842E-2
1.991169870E-1,7.562499959E-3,-8.112499490E-3,3.272499889E-2
2.016505260E-1,9.762499481E-3,-8.112499490E-3,3.368749842E-2
2.041842930E-1,4.399999976E-3,-1.017499994E-2,3.368749842E-2
2.067179100E-1,-1.924999990E-3,-1.347499993E-2,3.272499889E-2
2.092514580E-1,-4.124999978E-3,-1.443750039E-2,3.272499889E-2
2.117852250E-1,-4.124999978E-3,-1.347499993E-2,3.162499890E-2
2.143188420E-1,-1.924999990E-3,-1.237499993E-2,3.368749842E-2
2.168523810E-1,1.374999993E-4,-1.127499994E-2,3.368749842E-2
2.193861480E-1,1.237499993E-3,-1.237499993E-2,3.368749842E-2
2.219196840E-1,1.237499993E-3,-1.127499994E-2,3.698749840E-2
2.244532980E-1,1.237499993E-3,-1.237499993E-2,3.698749840E-2
2.269868380E-1,1.237499993E-3,-1.347499993E-2,3.368749842E-2
2.295206830E-1,1.374999993E-4,-1.553750038E-2,3.698749840E-2
2.320542230E-1,1.237499993E-3,-1.663750038E-2,3.795000166E-2
2.345879940E-1,1.374999993E-4,-1.869999990E-2,3.904999793E-2
2.371215350E-1,-1.924999990E-3,-2.089999989E-2,3.904999793E-2
2.396551480E-1,-4.124999978E-3,-2.296249941E-2,3.478749841E-2
2.421886890E-1,-4.124999978E-3,-2.296249941E-2,3.588749841E-2
2.447224560E-1,-1.924999990E-3,-2.296249941E-2,3.904999793E-2
2.472560730E-1,-3.024999984E-3,-1.869999990E-2,4.015000165E-2
2.497896120E-1,-4.124999978E-3,-1.773750037E-2,4.124999791E-2
2.523233790E-1,-8.249999955E-4,-1.663750038E-2,4.221250117E-2
2.548569960E-1,2.337499987E-3,-1.773750037E-2,4.551250115E-2
2.573907630E-1,2.337499987E-3,-1.663750038E-2,4.551250115E-2
2.599243040E-1,1.374999993E-4,-1.553750038E-2,4.757500067E-2
2.624579170E-1,3.437499981E-3,-1.663750038E-2,5.073750019E-2
2.649914530E-1,3.437499981E-3,-1.553750038E-2,5.183750018E-2
2.675252200E-1,-8.249999955E-4,-1.663750038E-2,5.183750018E-2
2.700588370E-1,3.437499981E-3,-1.773750037E-2,5.183750018E-2
2.725923760E-1,5.499999970E-3,-1.663750038E-2,5.293750018E-2
2.751261480E-1,4.399999976E-3,-1.773750037E-2,5.293750018E-2
2.776596890E-1,6.599999964E-3,-1.869999990E-2,5.293750018E-2
2.801933020E-1,3.437499981E-3,-1.979999989E-2,5.389999971E-2
