"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
3.828142700E-2,-6.129000187E0,7.114050388E0,-3.151050091E0
4.081233800E-2,-6.142950058E0,7.168950558E0,-3.160050154E0
4.334610800E-2,-6.160050392E0,7.167000294E0,-3.181950092E0
4.587972300E-2,-6.205050468E0,7.167000294E0,-3.153000116E0
4.841349200E-2,-6.162000179E0,7.116000175E0,-3.178950071E0
5.094711700E-2,-6.106950283E0,7.060950279E0,-3.190950155E0
5.348088600E-2,-6.082950115E0,7.047000408E0,-3.193950176E0
5.601442600E-2,-6.031050205E0,6.985050201E0,-3.234000206E0
5.854827000E-2,-5.998950481E0,6.949050426E0,-3.253950119E0
6.108189300E-2,-5.961000443E0,6.937050343E0,-3.265950203E0
6.361543100E-2,-5.962950230E0,6.915000439E0,-3.261000156E0
6.614919800E-2,-5.932050228E0,6.895950317E0,-3.306000233E0
6.868281600E-2,-5.892000198E0,6.927000523E0,-3.310950041E0
7.121660700E-2,-5.875050068E0,6.913050175E0,-3.280050039E0
7.375022500E-2,-5.808000088E0,6.862050533E0,-3.292050123E0
7.628376300E-2,-5.764950275E0,6.858000278E0,-3.294000149E0
7.881753000E-2,-5.773950100E0,6.810000420E0,-3.313050270E0
8.135116700E-2,-5.748000145E0,6.829050541E0,-3.354000092E0
8.388493400E-2,-5.781000137E0,6.831000328E0,-3.409050226E0
8.641855100E-2,-5.781000137E0,6.811950207E0,-3.414000273E0
8.895231800E-2,-5.760000229E0,6.870000362E0,-3.405000210E0
9.148589700E-2,-5.701950073E0,6.843000412E0,-3.349050045E0
9.401966400E-2,-5.755050182E0,6.831000328E0,-3.342000246E0
9.655328100E-2,-5.712000370E0,6.822000504E0,-3.414000273E0
9.908682000E-2,-5.668950081E0,6.807000160E0,-3.393000126E0
1.016205820E-1,-5.647050381E0,6.747000217E0,-3.381000042E0
1.041542000E-1,-5.664000034E0,6.736050129E0,-3.397050142E0
1.066880440E-1,-5.686050415E0,6.769050121E0,-3.415950060E0
1.092215840E-1,-5.707050323E0,6.793050289E0,-3.409050226E0
1.117553420E-1,-5.743050098E0,6.790950298E0,-3.412050247E0
