"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
3.828142700E-2,-4.867500067E-2,-2.076249942E-2,-7.603749633E-2
4.081233800E-2,-4.331250116E-2,-2.296249941E-2,-7.383749634E-2
4.334610800E-2,-3.368749842E-2,-2.612499893E-2,-7.177499682E-2
4.587972300E-2,-2.942499891E-2,-2.722499892E-2,-6.531249732E-2
4.841349200E-2,-2.736249939E-2,-2.928750031E-2,-5.898749828E-2
5.094711700E-2,-1.883750036E-2,-3.355000168E-2,-5.362499878E-2
5.348088600E-2,-1.567500085E-2,-3.464999795E-2,-5.046249926E-2
5.601442600E-2,-8.249999955E-3,-3.464999795E-2,-4.936249927E-2
5.854827000E-2,-3.987499978E-3,-3.575000167E-2,-4.303750023E-2
6.108189300E-2,-6.874999963E-4,-3.355000168E-2,-3.767500073E-2
6.361543100E-2,2.474999987E-3,-3.464999795E-2,-3.657500073E-2
6.614919800E-2,2.474999987E-3,-3.671250120E-2,-3.547500074E-2
6.868281600E-2,2.474999987E-3,-4.097500071E-2,-3.231250122E-2
7.121660700E-2,3.574999981E-3,-3.781250119E-2,-3.341250122E-2
7.375022500E-2,5.637499969E-3,-3.671250120E-2,-3.341250122E-2
7.628376300E-2,4.537499975E-3,-3.244999796E-2,-3.341250122E-2
7.881753000E-2,4.537499975E-3,-2.928750031E-2,-3.341250122E-2
8.135116700E-2,5.637499969E-3,-2.612499893E-2,-3.657500073E-2
8.388493400E-2,2.474999987E-3,-2.612499893E-2,-3.767500073E-2
8.641855100E-2,-1.787499990E-3,-2.612499893E-2,-3.767500073E-2
8.895231800E-2,-6.049999967E-3,-2.502499893E-2,-3.547500074E-2
9.148589700E-2,-1.031249948E-2,-2.722499892E-2,-3.451250121E-2
9.401966400E-2,-1.457499992E-2,-2.928750031E-2,-3.657500073E-2
9.655328100E-2,-1.773750037E-2,-2.928750031E-2,-3.547500074E-2
9.908682000E-2,-2.089999989E-2,-2.818750031E-2,-3.657500073E-2
1.016205820E-1,-2.199999988E-2,-2.722499892E-2,-3.973750025E-2
1.041542000E-1,-2.626249939E-2,-2.818750031E-2,-4.303750023E-2
1.066880440E-1,-3.272499889E-2,-2.722499892E-2,-4.193750024E-2
1.092215840E-1,-3.795000166E-2,-2.612499893E-2,-4.826249927E-2
1.117553420E-1,-3.904999793E-2,-2.392499894E-2,-4.399999976E-2
1.142889600E-1,-4.221250117E-2,-2.502499893E-2,-4.399999976E-2
1.168227270E-1,-4.647500068E-2,-2.186249942E-2,-4.399999976E-2
1.193563440E-1,-4.963750020E-2,-1.979999989E-2,-4.399999976E-2
1.218901260E-1,-5.389999971E-2,-2.296249941E-2,-4.303750023E-2
1.244236660E-1,-5.719999969E-2,-2.186249942E-2,-4.509999976E-2
1.269572800E-1,-5.926249921E-2,-1.979999989E-2,-4.936249927E-2
1.294910490E-1,-5.926249921E-2,-1.333750039E-2,-5.046249926E-2
1.320246850E-1,-6.146249920E-2,-1.443750039E-2,-5.362499878E-2
1.345584520E-1,-6.036249921E-2,-1.333750039E-2,-5.362499878E-2
1.370920700E-1,-6.352499872E-2,-1.649999991E-2,-5.156249925E-2
1.396256080E-1,-6.242499873E-2,-1.443750039E-2,-5.156249925E-2
1.421594910E-1,-5.926249921E-2,-1.443750039E-2,-4.619999975E-2
1.446930320E-1,-6.036249921E-2,-1.649999991E-2,-4.826249927E-2
1.472267990E-1,-5.926249921E-2,-1.759999990E-2,-5.046249926E-2
1.497604170E-1,-5.926249921E-2,-1.649999991E-2,-4.729999974E-2
1.522941980E-1,-5.816249922E-2,-1.649999991E-2,-4.303750023E-2
1.548278150E-1,-5.389999971E-2,-1.649999991E-2,-3.973750025E-2
1.573615820E-1,-5.293750018E-2,-2.076249942E-2,-3.341250122E-2
1.598952000E-1,-5.389999971E-2,-1.979999989E-2,-3.121249937E-2
1.624287620E-1,-5.389999971E-2,-1.979999989E-2,-2.914999984E-2
1.649626060E-1,-4.867500067E-2,-1.649999991E-2,-2.172499895E-2
1.674961470E-1,-4.647500068E-2,-1.443750039E-2,-1.636249945E-2
1.700299140E-1,-4.441250116E-2,-7.974999957E-3,-1.099999994E-2
1.725635460E-1,-3.904999793E-2,-5.499999970E-4,-6.737499963E-3
1.750973130E-1,-4.015000165E-2,5.499999970E-4,-4.124999978E-4
1.776309300E-1,-3.904999793E-2,5.774999969E-3,5.912499968E-3
1.801646970E-1,-3.588749841E-2,7.974999957E-3,1.443750039E-2
1.826982330E-1,-3.368749842E-2,1.113750041E-2,2.186249942E-2
1.852318460E-1,-3.368749842E-2,1.223750040E-2,2.942499891E-2
1.877656150E-1,-3.052499890E-2,1.539999992E-2,3.464999795E-2
1.902992330E-1,-2.516249940E-2,1.746249944E-2,3.891250119E-2
1.928330100E-1,-2.309999987E-2,2.172499895E-2,4.001250118E-2
1.953666270E-1,-1.773750037E-2,2.502499893E-2,4.001250118E-2
1.979001660E-1,-1.457499992E-2,2.708750032E-2,4.743750021E-2
2.004340100E-1,-1.237499993E-2,2.928750031E-2,5.059999973E-2
2.029677980E-1,-1.141249947E-2,3.024999984E-2,5.059999973E-2
2.055013390E-1,-6.049999967E-3,2.928750031E-2,5.059999973E-2
2.080349540E-1,-3.987499978E-3,2.708750032E-2,4.963750020E-2
2.105687210E-1,-6.874999963E-4,2.928750031E-2,5.279999971E-2
2.131023490E-1,3.574999981E-3,2.598750032E-2,4.853750020E-2
2.156361160E-1,7.837500423E-3,2.502499893E-2,4.743750021E-2
2.181697330E-1,8.799999952E-3,2.502499893E-2,4.743750021E-2
2.207035010E-1,1.099999994E-2,1.856249943E-2,4.427500069E-2
2.232371320E-1,1.209999993E-2,1.966249943E-2,4.427500069E-2
2.257708990E-1,1.306249946E-2,1.966249943E-2,4.537500069E-2
2.283044400E-1,1.306249946E-2,1.856249943E-2,4.317500070E-2
2.308380530E-1,8.799999952E-3,1.856249943E-2,3.575000167E-2
2.333718270E-1,8.799999952E-3,2.708750032E-2,3.038750030E-2
2.359054450E-1,7.837500423E-3,3.135000169E-2,2.722499892E-2
2.384392120E-1,9.899999946E-3,3.451250121E-2,2.186249942E-2
2.409728290E-1,8.799999952E-3,3.877500072E-2,1.773750037E-2
2.435063490E-1,6.737499963E-3,3.987500072E-2,1.663750038E-2
2.460401930E-1,6.737499963E-3,3.561250120E-2,1.773750037E-2
2.485739620E-1,2.474999987E-3,2.928750031E-2,2.089999989E-2
2.511075030E-1,2.749999985E-4,2.282499894E-2,2.296249941E-2
2.536411130E-1,1.374999993E-3,1.856249943E-2,2.406249940E-2
2.561748800E-1,4.537499975E-3,1.429999992E-2,3.038750030E-2
2.587084980E-1,2.749999985E-4,8.937500417E-3,3.684999794E-2
2.612422650E-1,-2.887499984E-3,4.812499974E-3,4.221250117E-2
2.637759010E-1,-7.149999961E-3,-4.812499974E-3,4.537500069E-2
2.663094400E-1,-1.031249948E-2,-9.074999951E-3,4.537500069E-2
2.688432070E-1,-1.031249948E-2,-1.223750040E-2,4.001250118E-2
2.713770530E-1,-1.141249947E-2,-1.649999991E-2,3.575000167E-2
2.739106130E-1,-1.031249948E-2,-1.759999990E-2,3.368749842E-2
2.764442280E-1,-1.141249947E-2,-1.869999990E-2,3.148749843E-2
2.789779950E-1,-1.237499993E-2,-2.392499894E-2,3.038750030E-2
2.815116130E-1,-1.141249947E-2,-3.244999796E-2,3.575000167E-2
2.840453710E-1,-1.347499993E-2,-4.097500071E-2,3.575000167E-2
