"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
3.807113300E-2,-9.249000549E0,1.617000103E0,1.321950078E0
4.060220800E-2,-9.361950874E0,1.608000040E0,1.344000101E0
4.313582300E-2,-9.369000435E0,1.660050035E0,1.351050019E0
4.566936200E-2,-9.403050423E0,1.665000081E0,1.375050068E0
4.820312600E-2,-9.400050163E0,1.653000116E0,1.399050117E0
5.073674100E-2,-9.385950089E0,1.645950079E0,1.396950126E0
5.327051000E-2,-9.415050507E0,1.651050091E0,1.429950118E0
5.580412600E-2,-9.397950172E0,1.645950079E0,1.389000058E0
5.833768600E-2,-9.403050423E0,1.633950114E0,1.413000107E0
6.087145400E-2,-9.391050339E0,1.653000116E0,1.417950034E0
6.340507100E-2,-9.417000771E0,1.609950066E0,1.329000115E0
6.593860900E-2,-9.418950081E0,1.612950087E0,1.336950064E0
6.847238600E-2,-9.481950760E0,1.612950087E0,1.375050068E0
7.100600300E-2,-9.558000565E0,1.564950109E0,1.384950042E0
7.353977000E-2,-9.589950562E0,1.591050029E0,1.363050103E0
7.607331100E-2,-9.630000114E0,1.584000111E0,1.387050033E0
7.860690900E-2,-9.666000366E0,1.540950060E0,1.432050109E0
8.114067800E-2,-9.690000534E0,1.537950039E0,1.497000098E0
8.367421900E-2,-9.706950188E0,1.564950109E0,1.552050114E0
8.620806300E-2,-9.754950523E0,1.588950038E0,1.533000112E0
8.874158800E-2,-9.817050934E0,1.603050113E0,1.573950052E0
9.127520400E-2,-9.814950943E0,1.591050029E0,1.591050029E0
9.380897100E-2,-9.862950325E0,1.597950101E0,1.602000117E0
9.634251200E-2,-9.867000580E0,1.603050113E0,1.597950101E0
9.887613000E-2,-9.826950073E0,1.612950087E0,1.605000019E0
1.014098990E-1,-9.799950600E0,1.627050042E0,1.605000019E0
1.039434400E-1,-9.750000000E0,1.672050118E0,1.570950031E0
1.064770530E-1,-9.678000450E0,1.677000046E0,1.597950101E0
1.090108170E-1,-9.646950722E0,1.665000081E0,1.617000103E0
1.115443580E-1,-9.574950218E0,1.665000081E0,1.593000054E0
1.140782020E-1,-9.541950226E0,1.657950044E0,1.617000103E0
1.166117420E-1,-9.484050751E0,1.660050035E0,1.626000047E0
1.191453670E-1,-9.415050507E0,1.687050104E0,1.660050035E0
1.216791340E-1,-9.439050674E0,1.627050042E0,1.662000060E0
1.242126740E-1,-9.421950340E0,1.600950122E0,1.642950058E0
1.267462880E-1,-9.384000778E0,1.609950066E0,1.674000025E0
1.292800570E-1,-9.381000519E0,1.621950030E0,1.701000094E0
1.318135980E-1,-9.316950798E0,1.620000124E0,1.693050027E0
1.343472110E-1,-9.276000023E0,1.660050035E0,1.761000037E0
1.368809800E-1,-9.225000381E0,1.657950044E0,1.686000109E0
1.394145890E-1,-9.184950829E0,1.701000094E0,1.741050124E0
1.419481270E-1,-9.169950485E0,1.740000129E0,1.734000087E0
1.444818940E-1,-9.175050735E0,1.677000046E0,1.690950036E0
1.470155120E-1,-9.199050903E0,1.708050132E0,1.666950107E0
1.495492550E-1,-9.225000381E0,1.693950057E0,1.726950049E0
1.520827950E-1,-9.277950287E0,1.717950106E0,1.720050097E0
1.546164090E-1,-9.196950912E0,1.737000108E0,1.662000060E0
1.571501780E-1,-9.196950912E0,1.735050082E0,1.698000073E0
1.596836940E-1,-9.168000221E0,1.717950106E0,1.686000109E0
1.622175380E-1,-9.187050819E0,1.735050082E0,1.674000025E0
1.647510780E-1,-9.111000061E0,1.717950106E0,1.657950044E0
1.672846940E-1,-9.112950325E0,1.708050132E0,1.614000082E0
1.698182660E-1,-9.166050911E0,1.740000129E0,1.552050114E0
1.723520330E-1,-9.172950745E0,1.696050048E0,1.449000120E0
1.748856510E-1,-9.181950569E0,1.639050126E0,1.396950126E0
1.774194180E-1,-9.144000053E0,1.585950017E0,1.320000052E0
1.799529720E-1,-9.190050125E0,1.584000111E0,1.306050062E0
1.824865860E-1,-9.180000305E0,1.548000097E0,1.368000031E0
1.850203550E-1,-9.202050209E0,1.525950074E0,1.369950056E0
1.875539720E-1,-9.235050201E0,1.507050037E0,1.432050109E0
1.900875070E-1,-9.265950203E0,1.528950095E0,1.432050109E0
1.926212740E-1,-9.324000359E0,1.555050015E0,1.459050059E0
1.951548910E-1,-9.163050652E0,1.179000020E0,1.464000106E0
1.976886590E-1,-9.199050903E0,1.294050097E0,1.588050127E0
2.002221790E-1,-9.261000633E0,1.344000101E0,1.657950044E0
2.027557930E-1,-9.271050453E0,1.311000109E0,1.618950129E0
2.052895620E-1,-9.292950630E0,1.315950036E0,1.617000103E0
2.078231790E-1,-9.280950546E0,1.252950072E0,1.614000082E0
2.103567040E-1,-9.352050781E0,1.264950037E0,1.642950058E0
