"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
3.807113300E-2,8.222500235E-2,-4.949999973E-2,3.258749843E-2
4.060220800E-2,8.318749815E-2,-4.523750022E-2,2.942499891E-2
4.313582300E-2,8.538749814E-2,-4.001250118E-2,2.736249939E-2
4.566936200E-2,8.428750187E-2,-4.207500070E-2,2.626249939E-2
4.820312600E-2,8.428750187E-2,-3.684999794E-2,2.406249940E-2
5.073674100E-2,8.744999766E-2,-3.355000168E-2,2.089999989E-2
5.327051000E-2,8.744999766E-2,-2.928750031E-2,1.979999989E-2
5.580412600E-2,8.648750186E-2,-2.502499893E-2,1.773750037E-2
5.833768600E-2,8.648750186E-2,-2.406249940E-2,1.883750036E-2
6.087145400E-2,8.744999766E-2,-2.296249941E-2,1.773750037E-2
6.340507100E-2,8.648750186E-2,-2.296249941E-2,1.457499992E-2
6.593860900E-2,8.538749814E-2,-2.076249942E-2,1.457499992E-2
6.847238600E-2,8.222500235E-2,-1.869999990E-2,1.347499993E-2
7.100600300E-2,8.002500236E-2,-1.553750038E-2,1.553750038E-2
7.353977000E-2,7.576250285E-2,-1.759999990E-2,1.979999989E-2
7.607331100E-2,7.150000334E-2,-2.076249942E-2,1.883750036E-2
7.860690900E-2,7.150000334E-2,-2.186249942E-2,2.406249940E-2
8.114067800E-2,6.407500058E-2,-3.038750030E-2,2.736249939E-2
8.367421900E-2,6.297499686E-2,-3.355000168E-2,3.368749842E-2
8.620806300E-2,6.297499686E-2,-3.684999794E-2,4.111250117E-2
8.874158800E-2,6.091250107E-2,-3.684999794E-2,5.073750019E-2
9.127520400E-2,6.201250106E-2,-3.781250119E-2,5.816249922E-2
9.380897100E-2,5.981250107E-2,-3.575000167E-2,6.984999776E-2
9.634251200E-2,5.981250107E-2,-3.258749843E-2,7.727500051E-2
9.887613000E-2,6.297499686E-2,-2.722499892E-2,8.483749628E-2
1.014098990E-1,6.201250106E-2,-2.502499893E-2,8.910000324E-2
1.039434400E-1,5.871250108E-2,-2.296249941E-2,9.432499856E-2
1.064770530E-1,6.297499686E-2,-1.759999990E-2,1.050499976E-1
1.090108170E-1,6.407500058E-2,-1.443750039E-2,1.102750003E-1
1.115443580E-1,6.091250107E-2,-1.333750039E-2,1.102750003E-1
1.140782020E-1,6.091250107E-2,-1.333750039E-2,1.135749966E-1
1.166117420E-1,6.297499686E-2,-1.017499994E-2,1.178374961E-1
1.191453670E-1,6.627500057E-2,-4.812499974E-3,1.199000031E-1
1.216791340E-1,6.517499685E-2,-9.074999951E-3,1.209999993E-1
1.242126740E-1,6.833750010E-2,-1.127499994E-2,1.241625026E-1
1.267462880E-1,7.150000334E-2,-1.443750039E-2,1.295250058E-1
1.292800570E-1,7.576250285E-2,-1.759999990E-2,1.315875053E-1
1.318135980E-1,8.112499863E-2,-1.759999990E-2,1.347499937E-1
